Date,xlb,xle,xlf,xli,xlk,xlp,xlu,xlv,xly
12/22/1999,17.319519,20.27618,17.048334,21.20593,44.670105,16.287644,16.2759,24.043041,24.562933
12/23/1999,17.568172,20.853437,17.32257,21.490573,44.906872,16.565207,16.355681,24.547088,25.044299
12/27/1999,17.643855,20.709123,17.185452,21.704056,45.24887,16.676234,15.921305,24.547088,25.291494
12/28/1999,18.00062,20.733175,17.116893,21.929394,44.82795,16.543002,16.063143,24.597492,25.551695
12/29/1999,18.357393,20.949647,17.288286,22.095445,45.551409,16.343153,15.823789,24.584896,25.655775
12/30/1999,18.043865,20.78128,17.368276,22.142885,45.511944,16.354252,15.823789,24.6731,25.577715
12/31/1999,18.389823,20.853437,17.379698,22.474969,45.354099,16.365359,15.965626,24.912517,25.863935
1/3/2000,17.96819,20.444546,16.728392,21.893818,46.669474,16.16551,15.575572,24.433682,25.083334
1/4/2000,17.795211,20.059708,15.997096,21.288955,44.3018,15.710304,15.105737,23.87923,24.328752
1/5/2000,18.530372,20.588861,15.8714,21.194074,43.644113,15.987867,15.48693,23.665006,24.029526
1/6/2000,19.006064,21.38259,16.568421,21.478717,42.197202,16.287644,15.460332,23.740613,24.302732
